,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
25,1,0.019,0.3779,7,-0.1438,0.4359,6,-0.1422,0.437,6,-0.0125,0.9639,1,2035495741.0,0.9179,1,0.89,0.8927,2,3.5486,0.8226,2,0.34,0.253,8,0.3,0.2826,8,0.0386,0.138,9,35.36,0.667,4,1.4676,0.7853,3,-0.0863,0.0887,10
85,3,-0.0262,0.2442,8,-0.711,0.0624,10,-0.6899,0.0602,10,0.5055,0.4392,6,1445045160.0,0.9595,1,1.05,0.816,2,2.4345,0.9135,1,-1.29,0.1019,10,-0.34,0.1216,9,0.0477,0.1709,9,57.69,0.2464,8,0.7598,0.655,4,-0.0436,0.1829,9
10,1,-0.0014,0.3067,7,-0.1831,0.4107,6,-0.1873,0.4118,6,-0.1036,0.9781,1,408815367.0,1.0,1,2.03,0.4151,6,12.2591,0.3319,7,-11.42,0.0066,10,-2.67,0.0219,10,0.0028,0.0033,10,75.19,0.08,10,-0.2766,0.2125,8,-0.2086,0.0131,10
343,19,0.0876,0.5652,5,-0.5987,0.1281,9,-0.5985,0.115,9,0.4215,0.54,5,5750260000.0,0.6714,4,3.13,0.1884,9,4.1088,0.7656,3,4.13,0.8039,2,1.92,0.7415,3,0.1887,0.6364,4,54.31,0.3143,7,0.0147,0.3483,7,0.0269,0.4644,6
890,31,0.0449,0.4556,6,-0.2811,0.3417,7,-0.2973,0.3308,7,0.0712,0.9244,1,15471762446.0,0.3877,7,1.4,0.6364,4,7.9479,0.5005,6,1.69,0.4743,6,1.18,0.5455,5,0.2138,0.6977,4,32.37,0.7163,3,0.0224,0.3614,7,0.0463,0.5476,5
397,21,0.1177,0.6353,4,3.192,0.9189,1,2.9567,0.9321,1,0.6117,0.31,7,7241499357.0,0.6035,4,1.07,0.7985,3,128.1568,0.0219,10,2.16,0.5619,5,0.86,0.4578,6,0.0565,0.1961,9,69.37,0.1161,9,-0.7923,0.1172,9,-0.0679,0.1238,9
733,20,-0.0079,0.2924,8,-0.3896,0.2694,8,-0.3687,0.2662,8,0.1565,0.8532,2,5229528400.0,0.6977,4,2.26,0.3395,7,8.6287,0.471,6,2.32,0.5936,5,1.65,0.6889,4,0.2668,0.8182,2,32.81,0.7087,3,-0.0414,0.3089,7,0.0989,0.7558,3
823,7,-0.0941,0.1073,9,-0.3364,0.3056,7,-0.2593,0.3625,7,0.6958,0.2519,8,2953647885.0,0.8467,2,2.45,0.2935,8,6.4445,0.5958,5,1.58,0.4611,6,0.94,0.4874,6,0.2662,0.8171,2,41.26,0.5553,5,-0.313,0.1972,9,-0.0803,0.0986,10
119,12,0.0514,0.4786,6,-0.25,0.3636,7,-0.2498,0.3702,7,0.8056,0.1687,9,14601435844.0,0.3954,7,1.6,0.5542,5,9.8163,0.4162,6,1.0,0.3604,7,0.55,0.3625,7,0.0421,0.1512,9,60.61,0.1961,9,0.0745,0.3987,7,0.0041,0.368,7
299,14,0.0471,0.4633,6,-0.573,0.1435,9,-0.5637,0.1391,9,0.449,0.5071,5,11552887537.0,0.4567,6,1.26,0.6988,4,2.3166,0.9222,1,2.0,0.5323,5,1.23,0.5674,5,0.2159,0.7032,3,45.76,0.4677,6,6.691,0.9507,1,0.0044,0.3702,7
