iter	Passed	Remaining
0	3	310
1	6	321
2	8	265
3	9	230
4	10	207
5	12	202
6	14	195
7	16	186
8	17	180
9	22	199
10	23	190
11	24	181
12	25	173
13	27	167
14	28	162
15	29	157
16	31	152
17	32	147
18	33	142
19	34	139
20	37	141
21	39	138
22	40	134
23	41	130
24	42	127
25	43	124
26	45	121
27	46	118
28	47	116
29	48	113
30	50	111
31	52	111
32	54	109
33	55	107
34	56	105
35	57	102
36	58	100
37	60	98
38	61	95
39	62	94
40	63	91
41	65	90
42	66	88
43	68	87
44	70	85
45	71	83
46	72	82
47	74	80
48	75	78
49	76	76
50	77	74
51	78	72
52	79	70
53	81	69
54	82	67
55	85	66
56	86	65
57	87	63
58	88	61
59	90	60
60	91	58
61	92	56
62	93	55
63	95	53
64	96	51
65	97	50
66	99	48
67	101	47
68	102	45
69	103	44
70	105	43
71	106	41
72	107	39
73	109	38
74	110	36
75	111	35
76	113	33
77	114	32
78	116	31
79	118	29
80	119	27
81	120	26
82	121	24
83	122	23
84	124	21
85	125	20
86	128	19
87	129	17
88	131	16
89	134	14
90	135	13
91	136	11
92	138	10
93	141	9
94	142	7
95	143	5
96	145	4
97	148	3
98	149	1
99	150	0
