Yt.3M,Yt.2M,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
0.0162,0.0533,0.0195,1101 台泥,M1100 水泥工業,0.0406,0.448,6,0.3626,0.6648,4,0.3296,0.6813,4,0.2578,0.7349,3,"250,567,026,346",0.0471,10,1.02,0.8313,2,9.7551,0.4195,6,0.81,0.3341,7,0.59,0.3735,7,0.1465,0.4962,6,47.9,0.4217,6,0.3898,0.5268,5,0.2303,0.9135,1
0.0039,-0.0055,-0.0853,1102 亞泥,M1100 水泥工業,0.1633,0.7306,3,0.8445,0.7798,3,0.7223,0.7809,3,0.2117,0.7941,3,"154,039,638,892",0.069,10,0.86,0.9036,1,9.3358,0.4381,6,1.46,0.4359,6,0.93,0.4819,6,0.0949,0.3406,7,43.71,0.5049,5,0.0968,0.4151,6,0.0333,0.5038,5
-0.014,0.0108,-0.0108,1103 嘉泥,M1100 水泥工業,0.0167,0.3702,7,0.8784,0.7831,3,0.8106,0.793,3,0.2338,0.7656,3,"14,034,320,723",0.4107,6,0.66,0.9704,1,20.0736,0.184,9,-0.2,0.1807,9,-0.01,0.1687,9,0.0658,0.2377,8,39.37,0.5958,5,-2.9356,0.0329,10,-0.0477,0.1709,9
-0.01,0.0784,0.0151,1104 環泥,M1100 水泥工業,0.1471,0.7043,3,0.8719,0.782,3,0.7333,0.7831,3,0.4068,0.552,5,"21,190,726,169",0.3089,7,0.93,0.8784,2,11.1029,0.3669,7,1.1,0.3823,7,0.93,0.4808,6,0.0398,0.1424,9,17.59,0.9113,1,-0.0908,0.2804,8,0.0156,0.4195,6
-0.0643,-0.0292,-0.0117,1108 幸福,M1100 水泥工業,0.1111,0.6188,4,0.9549,0.7941,3,0.8406,0.7985,3,0.1448,0.8708,2,"6,457,149,578",0.6364,4,1.34,0.6627,4,5.4127,0.6736,4,2.48,0.6177,4,1.33,0.6002,5,0.0263,0.0898,10,51.61,0.356,7,-0.0401,0.31,7,0.0188,0.4315,6
-0.0349,-0.0025,-0.0201,1109 信大,M1100 水泥工業,0.1307,0.6692,4,0.4282,0.6867,4,0.3228,0.6802,4,0.1582,0.851,2,"6,380,694,308",0.6396,4,0.79,0.931,1,5.8161,0.6386,4,1.05,0.3746,7,0.92,0.4797,6,0.2792,0.839,2,11.63,0.9595,1,-0.1598,0.2541,8,-0.005,0.3187,7
0.1082,0.1032,0.0688,1110 東泥,M1100 水泥工業,0.1093,0.6177,4,1.6006,0.8445,2,1.3915,0.8532,2,0.1383,0.8773,2,"11,508,141,235",0.4578,6,1.13,0.7711,3,19.9484,0.1851,9,0.5,0.2815,8,0.43,0.322,7,0.0195,0.0548,10,24.19,0.828,2,-0.1616,0.2519,8,-0.0079,0.3056,7
-0.0356,-0.0365,-0.0208,1201 味全,M1200 食品工業,0.0242,0.3987,7,-0.0482,0.4929,6,-0.0448,0.5115,5,0.159,0.8478,2,"9,501,887,617",0.5235,5,1.29,0.6846,4,1.7812,0.9485,1,1.79,0.4918,6,0.89,0.4677,6,0.0705,0.2541,8,58.41,0.2267,8,0.0276,0.3658,7,-0.0503,0.1621,9
0.0496,0.0317,-0.0139,1203 味王,M1200 食品工業,-0.0769,0.1402,9,-0.3652,0.2837,8,-0.3219,0.3045,7,0.3395,0.6331,4,"11,834,064,000",0.4502,6,2.06,0.4074,6,7.5925,0.5235,5,3.52,0.7601,3,2.4,0.8127,2,0.1856,0.6254,4,32.56,0.7141,3,0.9555,0.6911,4,0.0208,0.4381,6
-0.0717,-0.0085,-0.0256,1210 大成,M1200 食品工業,0.0175,0.3735,7,-0.1793,0.4151,6,-0.1569,0.4294,6,0.2528,0.7382,3,"50,055,783,747",0.1643,9,2.25,0.345,7,1.9782,0.9398,1,3.53,0.7612,3,1.91,0.736,3,0.0931,0.3319,7,51.7,0.3549,7,0.1105,0.4261,6,0.0802,0.6944,4
