,Yt.1M
25,-0.0123
85,-0.0268
10,0.0593
343,0.0065
890,0.0071
397,0.1134
733,0.016
823,0.0278
119,0.0206
299,-0.0444
417,0.5146
29,-0.0847
55,0.0094
429,-0.0224
300,0.0
605,0.0351
260,0.0863
197,0.0315
378,0.0512
82,0.0152
818,0.1837
651,-0.0345
676,-0.0152
886,-0.0119
797,0.1726
205,-0.0927
552,0.1142
740,0.1267
295,0.107
463,-0.0093
545,0.0323
854,-0.0498
846,0.298
441,-0.0377
765,-0.0766
405,0.2085
59,-0.0612
322,0.0487
810,0.0723
781,0.0311
706,0.0617
644,0.2663
301,0.0383
7,-0.0208
245,0.0225
156,0.0395
361,-0.0159
690,0.0376
102,-0.0083
200,-0.0236
697,-0.0205
358,0.0282
310,0.0534
391,0.0053
261,0.0132
434,-0.0657
317,-0.033
328,0.1436
2,-0.0108
469,0.0067
517,0.2541
817,0.1146
852,-0.014
159,-0.0396
527,-0.0071
848,0.0252
573,-0.0073
584,-0.0213
445,-0.0189
590,0.0535
449,0.0
532,0.0421
614,0.085
366,0.0494
369,0.5693
876,-0.0658
425,-0.0621
666,-0.0242
213,0.0355
80,-0.0652
149,-0.0339
267,-0.0446
409,0.0788
281,-0.0773
479,0.0161
276,0.0317
134,-0.0467
483,-0.0253
752,0.0248
708,-0.0433
484,0.0033
645,0.0997
869,0.0398
282,-0.0352
592,0.2587
909,0.1408
689,1.3092
173,0.0495
591,0.0129
652,0.2375
793,-0.086
875,0.0568
91,0.3095
853,-0.003
182,-0.0093
544,0.0273
812,0.1356
70,0.1377
292,0.0
132,-0.0802
347,0.0287
799,0.314
136,0.0554
165,0.0017
28,-0.0703
513,0.1447
194,-0.02
320,0.1672
583,0.2261
170,-0.0174
406,0.1199
141,0.0581
174,-0.0734
6,0.0688
903,-0.01
685,-0.0386
74,-0.0116
632,0.0276
536,0.0142
607,-0.1271
146,0.0189
235,0.0063
221,-0.0236
410,-0.0392
619,-0.0213
133,0.1432
873,-0.0646
413,0.0472
186,0.0089
41,0.0164
729,-0.0474
109,0.0788
437,0.0278
56,0.0994
334,0.8173
360,0.1425
514,-0.0913
24,0.0897
364,0.0262
446,-0.0032
452,-0.0035
51,0.0982
423,-0.1076
835,0.1056
579,-0.003
265,0.0488
454,-0.0414
623,-0.0394
426,-0.0487
838,0.0716
18,0.042
653,-0.0365
519,0.0628
352,0.225
84,-0.0568
61,0.0477
273,-0.0381
286,-0.0702
507,0.144
731,0.0547
12,0.0225
183,0.109
399,0.2062
833,0.513
224,-0.0403
523,0.0176
639,0.0
742,-0.0183
867,0.007
533,0.0736
724,0.1145
177,0.2627
660,-0.056
751,0.023
487,0.0605
164,0.0098
249,0.1254
850,0.0277
803,0.1093
75,0.2854
114,-0.0169
520,-0.0285
856,0.0012
105,0.2137
115,0.0511
382,0.0876
93,0.0434
515,-0.0188
90,-0.067
337,-0.0064
900,-0.0192
836,0.0104
847,0.0026
553,0.1235
543,0.1881
558,0.2113
95,0.0172
11,0.0282
448,0.0029
43,0.121
42,-0.0793
330,-0.0082
168,0.0346
795,-0.0719
807,0.0352
688,0.0155
101,0.1381
179,0.0
786,0.0045
800,0.0955
603,-0.0058
178,0.0323
478,-0.0201
618,-0.0077
723,-0.0146
826,0.005
384,0.0246
258,0.1429
707,0.0291
336,-0.0822
874,0.1556
15,-0.0105
3,0.0151
427,-0.0202
257,0.0943
528,-0.0306
494,0.1056
430,-0.035
394,0.0522
223,0.0024
180,0.0983
695,-0.0214
910,-0.0109
325,0.0855
540,-0.0063
